datetime,open,high,low,close,volume,adx,bop,ema,sma1,sma2,sma3,sma4,obv,kst,kst_signal,macd,macd_signal,macd_hist,mfi,percent_b,ultosc,Pct_change
2020-05-18 00:00:00,54.13,55.89,53.94,55.45,23977100,22.51514,0.67692,54.14115,51.80571,53.3445,56.4416,55.1506,1557562500.0,-136.76611,-120.71023,-1.48742,-1.99331,0.50589,53.12761,0.58855,58.70402,-0.0732074210262409
2020-05-11 00:00:00,52.62,54.1,52.49,52.93,22096200,23.78102,0.19255,54.12799,51.23,53.558,56.4832,55.10515,1533585400.0,-153.32532,-109.40983,-1.93895,-2.11979,0.18083,52.92568,0.47422,62.55202,-0.0454463480613165
2020-05-04 00:00:00,51.61,52.18,48.32,50.87,24196300,24.54941,-0.19171,54.14004,49.75571,53.9695,56.4796,55.0706,1511489200.0,-151.28421,-93.35839,-2.23049,-2.165,-0.06549,56.45308,0.37717,58.39672,-0.038919327413565
2020-04-27 00:00:00,50.4,52.55,49.9,52.48,21247100,24.69142,0.78491,54.1729,48.81143,54.47,56.538,55.05225,1535685500.0,-145.74658,-74.18384,-2.3604,-2.14862,-0.21178,55.17723,0.42273,59.54233,0.0316493021427166
2020-04-20 00:00:00,50.01,53.74,49.94,50.79,27963100,25.22282,0.20526,54.18991,47.12571,54.868,56.5814,55.02855,1514438400.0,-132.05478,-54.36066,-2.65581,-2.09568,-0.56013,52.34978,0.34431,48.11394,-0.0322027439024389
2020-04-13 00:00:00,49.38,50.18,47.59,49.86,25192800,25.80457,0.18533,54.22408,47.51714,55.3335,56.6684,55.0129,1486475300.0,-116.8328,-34.57496,-2.82216,-1.95565,-0.86652,52.74868,0.29181,48.97314,-0.0183106910809214
2020-04-06 00:00:00,51.02,51.67,47.52,50.26,40752400,25.15174,-0.18313,54.26794,47.92571,55.8425,56.8046,54.9995,1511668100.0,-100.31397,-16.37692,-2.89875,-1.73902,-1.15973,50.0019,0.28605,44.07576,0.0080224628961089
2020-03-30 00:00:00,44.44,51.7,44.44,51.42,68879600,24.44871,0.96143,54.30822,49.36571,56.296,56.9408,54.9796,1552420500.0,-83.6397,0.06509,-2.99506,-1.44908,-1.54597,45.17748,0.31053,41.8539,0.0230799840827695
2020-03-23 00:00:00,44.81,46.17,42.42,42.61,49553700,23.69159,-0.58667,54.33725,50.66429,56.743,57.0688,54.95225,1483540900.0,-66.42858,14.80569,-3.19253,-1.06259,-2.12994,41.17224,-0.05293,31.98217,-0.1713341112407623
2020-03-16 00:00:00,40.16,46.14,38.16,44.26,71592600,20.67288,0.51378,54.45511,53.16143,57.621,57.379,54.97,1533094600.0,-35.06254,28.07291,-2.50112,-0.5301,-1.97102,40.0395,-0.10323,36.27419,0.038723304388641
2020-03-09 00:00:00,37.69,44.4,37.69,40.68,59583500,17.40848,0.4456,54.55758,55.07143,58.3585,57.6502,54.9842,1461502000.0,-8.86236,37.99126,-1.75026,-0.03735,-1.71291,36.80236,-0.45789,28.06688,-0.0808856755535472
2020-03-02 00:00:00,53.22,56.79,52.49,53.53,92405700,13.12144,0.07209,54.69705,57.79429,59.2375,57.9466,55.01685,1521085500.0,21.28678,44.67617,-0.40191,0.39088,-0.79279,37.3466,-0.14527,33.54664,0.3158800393313667
2020-02-24 00:00:00,58.81,59.08,51.15,52.72,95099400,10.45568,-0.76797,54.70878,58.88143,59.4365,57.9626,54.97935,1428679800.0,32.66197,47.83313,0.01655,0.58907,-0.57252,46.27245,-0.4146,38.01575,-0.0151317018494302
2020-02-17 00:00:00,60.42,61.03,60.08,60.34,23236600,7.58487,-0.08421,54.72877,59.86143,59.668,58.0028,54.93835,1523779200.0,46.01654,49.63069,0.6329,0.7322,-0.09931,54.31379,0.64855,48.92589,0.1445371775417299
2020-02-10 00:00:00,60.0,60.94,59.87,60.51,19572800,7.96394,0.47663,54.67237,59.77286,59.4665,57.8956,54.86285,1547015800.0,46.94958,49.733,0.63451,0.75703,-0.12252,54.09076,0.69555,45.96168,0.0028173682466023
2020-02-03 00:00:00,57.85,61.29,57.8,60.09,63115300,8.44045,0.64183,54.6137,59.86572,59.3265,57.801,54.78305,1527443000.0,47.66408,49.30884,0.61004,0.78766,-0.17762,53.86958,0.63996,45.80476,-0.0069410014873573
2020-01-27 00:00:00,58.68,59.63,57.44,57.63,34714700,8.95362,-0.47945,54.55867,59.97857,59.239,57.6888,54.7046,1464327700.0,49.02574,48.38123,0.61269,0.83206,-0.21937,48.89701,0.20598,42.02904,-0.0409385921118322
2020-01-20 00:00:00,60.72,60.83,59.33,59.74,15254200,8.49656,-0.65333,54.5278,60.38,59.3145,57.5902,54.63375,1499042400.0,52.97638,46.90071,0.85764,0.88691,-0.02927,56.70615,0.58071,50.11069,0.036612875238591
2020-01-13 00:00:00,59.63,61.15,59.57,61.14,28660000,8.86516,0.95569,54.47541,60.43143,59.1895,57.4656,54.54535,1514296600.0,54.20263,44.91859,0.94297,0.89422,0.04875,61.66421,0.85122,58.11708,0.0234348844994978
2020-01-06 00:00:00,59.55,60.11,59.2,59.58,53534500,9.05109,0.03297,54.40843,60.27429,58.967,57.3052,54.4434,1485636600.0,51.30181,43.36145,0.89562,0.88204,0.01358,62.88703,0.60836,54.57484,-0.0255152109911678
